,insegna,LONG_WGS84,LAT_WGS84,geopoint
225,AGHARTI PUB,9.17576822169,45.4526995995,"{'type': 'Point', 'coordinates': ['9.17576822169', '45.4526995995']}"
226,MONO,9.2040578913,45.4765407148,"{'type': 'Point', 'coordinates': ['9.2040578913', '45.4765407148']}"
227,THE LOFT,9.1638561156771,45.5132978744325,"{'type': 'Point', 'coordinates': ['9.1638561156771', '45.5132978744325']}"
228,PALO ALTO,9.19707540813,45.4548085509,"{'type': 'Point', 'coordinates': ['9.19707540813', '45.4548085509']}"
229,RISTORANTE 1958,9.14796407342,45.5207339018,"{'type': 'Point', 'coordinates': ['9.14796407342', '45.5207339018']}"
230,EDA,9.22110512432,45.4799443577,"{'type': 'Point', 'coordinates': ['9.22110512432', '45.4799443577']}"
231,CAFFE' SFORZESCO,9.18474664084,45.4660081351,"{'type': 'Point', 'coordinates': ['9.18474664084', '45.4660081351']}"
232,STUDIO 2 SKY,null,null,
233,SOUND OF 70's,9.17585761778,45.5019105484,"{'type': 'Point', 'coordinates': ['9.17585761778', '45.5019105484']}"
234,BYBLOS,9.17374757007,45.4858868336,"{'type': 'Point', 'coordinates': ['9.17374757007', '45.4858868336']}"
235,GREEN FIZZ,9.17622774275,45.4575607478,"{'type': 'Point', 'coordinates': ['9.17622774275', '45.4575607478']}"
236,ZOOM BAR,9.20302766916,45.4766416508,"{'type': 'Point', 'coordinates': ['9.20302766916', '45.4766416508']}"
237,LIME LIGHT,9.18661936077,45.4485358297,"{'type': 'Point', 'coordinates': ['9.18661936077', '45.4485358297']}"
238,RISTORANTE GIANNINO,9.1998755509,45.4809893968,"{'type': 'Point', 'coordinates': ['9.1998755509', '45.4809893968']}"
239,DOM STATION,9.1702055006,45.4523415341,"{'type': 'Point', 'coordinates': ['9.1702055006', '45.4523415341']}"
240,AMARANTA CLUB,9.17504264955,45.4192143276,"{'type': 'Point', 'coordinates': ['9.17504264955', '45.4192143276']}"
241,SERENDEPICO,9.18102035069,45.4685610728,"{'type': 'Point', 'coordinates': ['9.18102035069', '45.4685610728']}"
242,EFF,9.2225894363,45.4481602623,"{'type': 'Point', 'coordinates': ['9.2225894363', '45.4481602623']}"
243,ARMANI PRIVE',9.19314671697,45.4708059245,"{'type': 'Point', 'coordinates': ['9.19314671697', '45.4708059245']}"
244,EL TOMBON DE SAN MARC,9.18860283628,45.4754701899,"{'type': 'Point', 'coordinates': ['9.18860283628', '45.4754701899']}"
245,LA CASA DELLA MUSICA,9.17594950035,45.4418479036,"{'type': 'Point', 'coordinates': ['9.17594950035', '45.4418479036']}"
246,BAR VERGA,9.15967516497,45.4622429913,"{'type': 'Point', 'coordinates': ['9.15967516497', '45.4622429913']}"
247,BABYLONE,9.19631639844,45.4903656056,"{'type': 'Point', 'coordinates': ['9.19631639844', '45.4903656056']}"
248,BAIA,9.21757222462,45.4966537696,"{'type': 'Point', 'coordinates': ['9.21757222462', '45.4966537696']}"
249,LA CASA DELLA MUSICA,9.13482535912,45.4419680086,"{'type': 'Point', 'coordinates': ['9.13482535912', '45.4419680086']}"
250,SALSAMENTERIA DI PARMA,9.19536833724,45.4663598468,"{'type': 'Point', 'coordinates': ['9.19536833724', '45.4663598468']}"
251,TEATRO ARSENALE,9.17982611296,45.4595949983,"{'type': 'Point', 'coordinates': ['9.17982611296', '45.4595949983']}"
252,MAGAZZINI GENERALI,9.19623447285,45.4439084596,"{'type': 'Point', 'coordinates': ['9.19623447285', '45.4439084596']}"
253,william s club,9.19418783582,45.4712760796,"{'type': 'Point', 'coordinates': ['9.19418783582', '45.4712760796']}"
254,PEPENERO MILANO CITY,9.12216710046,45.5010450361,"{'type': 'Point', 'coordinates': ['9.12216710046', '45.5010450361']}"
255,MAGA FURLA,9.21181696726,45.509552029,"{'type': 'Point', 'coordinates': ['9.21181696726', '45.509552029']}"
256,LA SIDRERIA,9.25126927703,45.4711599712,"{'type': 'Point', 'coordinates': ['9.25126927703', '45.4711599712']}"
257,BLUESHOUSE,9.2242121376,45.5209523595,"{'type': 'Point', 'coordinates': ['9.2242121376', '45.5209523595']}"
258,CLUB 747,9.22091045436,45.4752972437,"{'type': 'Point', 'coordinates': ['9.22091045436', '45.4752972437']}"
259,PLASTIC PALACE,9.20603467729,45.4381415945,"{'type': 'Point', 'coordinates': ['9.20603467729', '45.4381415945']}"
260,VIBE ROOM,9.18954667165,45.4808835566,"{'type': 'Point', 'coordinates': ['9.18954667165', '45.4808835566']}"
261,EXOTICA,9.18495519619986,45.4827327971947,"{'type': 'Point', 'coordinates': ['9.18495519619986', '45.4827327971947']}"
262,BAMBU' CLUB,9.21898524687,45.4879876105,"{'type': 'Point', 'coordinates': ['9.21898524687', '45.4879876105']}"
263,TOCQUEVILLE13,9.18632911656,45.4822537727,"{'type': 'Point', 'coordinates': ['9.18632911656', '45.4822537727']}"
264,FABRIQUE,9.25218895578,45.4520289123,"{'type': 'Point', 'coordinates': ['9.25218895578', '45.4520289123']}"
265,MASQUENADA,9.21707143575,45.4634008387,"{'type': 'Point', 'coordinates': ['9.21707143575', '45.4634008387']}"
266,EPOCA,9.14092232392,45.4420893192,"{'type': 'Point', 'coordinates': ['9.14092232392', '45.4420893192']}"
267,MIB,9.18383619687,45.4651432718,"{'type': 'Point', 'coordinates': ['9.18383619687', '45.4651432718']}"
268,ROCKET CLUB MILANO,9.16036182642704,45.4489249545815,"{'type': 'Point', 'coordinates': ['9.16036182642704', '45.4489249545815']}"
269,RISTORANTE 4CENTO,9.19386884293,45.4333247334,"{'type': 'Point', 'coordinates': ['9.19386884293', '45.4333247334']}"
270,CIRCLE,9.15933601889,45.4536354238,"{'type': 'Point', 'coordinates': ['9.15933601889', '45.4536354238']}"
271,BOBINO NAVIGLIO,9.15944837828,45.4487513211,"{'type': 'Point', 'coordinates': ['9.15944837828', '45.4487513211']}"
272,bana afrique,9.21274502205,45.4979018789,"{'type': 'Point', 'coordinates': ['9.21274502205', '45.4979018789']}"
273,THE BEACH (al chiuso e all aperto),9.25505417194,45.4707260428,"{'type': 'Point', 'coordinates': ['9.25505417194', '45.4707260428']}"
274,GOGANGA,9.2215715338,45.4469745844,"{'type': 'Point', 'coordinates': ['9.2215715338', '45.4469745844']}"
275,JAZZ CAFE',9.17061142968,45.4773494666,"{'type': 'Point', 'coordinates': ['9.17061142968', '45.4773494666']}"
276,SPACE 25,9.23362108631,45.4397130918,"{'type': 'Point', 'coordinates': ['9.23362108631', '45.4397130918']}"
277,COST,9.18368882856742,45.4825532574061,"{'type': 'Point', 'coordinates': ['9.18368882856742', '45.4825532574061']}"
278,TREE EXPERIENCE CORVETTO,null,null,
279,PICCOLO CIRCO,9.17197566063,45.4882149963,"{'type': 'Point', 'coordinates': ['9.17197566063', '45.4882149963']}"
280,STUDIO 69,9.20036923213,45.4892492394,"{'type': 'Point', 'coordinates': ['9.20036923213', '45.4892492394']}"
281,SANTERIA SOCIAL CLUB,9.18850400196,45.445742166,"{'type': 'Point', 'coordinates': ['9.18850400196', '45.445742166']}"
282,BLACKOUT,9.18033431714,45.4578497939,"{'type': 'Point', 'coordinates': ['9.18033431714', '45.4578497939']}"
283,IPPODROMO DEL TROTTO LA MAURA,null,null,
284,PUPA CLUB,9.20978784014,45.4793766298,"{'type': 'Point', 'coordinates': ['9.20978784014', '45.4793766298']}"
285,TIME CLUB MILANO,9.2160713203,45.444353196,"{'type': 'Point', 'coordinates': ['9.2160713203', '45.444353196']}"
286,KARAOKE KTV,null,null,
287,SIXTH SENSE,9.17656566997,45.4489904203,"{'type': 'Point', 'coordinates': ['9.17656566997', '45.4489904203']}"
288,smeraldo,9.22029098408,45.4887270974,"{'type': 'Point', 'coordinates': ['9.22029098408', '45.4887270974']}"
